股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌额,换手率,涨跌幅
1,2024-01-26,993.1840536,1008.9155856,1014.1594296,990.0377472,227228706.0,2172799799.01,2.42,12.59,1.1709,1.2632
1,2024-01-29,1016.2569672,1017.305736,1036.1835744,1004.7205104,237625184.0,2312173346.33,3.12,8.39,1.2245,0.8316
1,2024-01-30,1007.8668168,996.33036,1017.305736,995.2815912,157912214.0,1515156603.96,2.16,-20.98,0.8137,-2.0619
1,2024-01-31,992.1352848,992.1352848,1002.6229728,983.7451344,135721747.0,1286857396.81,1.89,-4.2,0.6994,-0.4211
1,2024-02-01,986.8914408,986.8914408,994.2328224,979.5500592,105525987.0,993481907.01,1.48,-5.24,0.5438,-0.5285
1,2024-02-02,987.9402096,972.2086776,993.1840536,951.2333016,163421431.0,1520605694.69,4.25,-14.68,0.8421,-1.4878
1,2024-02-05,963.8185272,983.7451344,988.9889784,955.4283768,180359190.0,1674566499.46,3.45,11.54,0.9294,1.1866
1,2024-02-06,975.354984,1015.2081984,1015.2081984,974.3062152,199540954.0,1900324218.2,4.16,31.46,1.0283,3.1983
1,2024-02-07,1008.9155856,1007.8668168,1014.1594296,994.2328224,206201497.0,1975435102.12,1.96,-7.34,1.0626,-0.7231
1,2024-02-08,1004.7205104,1014.1594296,1014.1594296,998.4278976,165681384.0,1593505690.13,1.56,6.29,0.8538,0.6243
1,2024-02-19,1023.5983488,1028.8421928,1028.8421928,1012.061892,160524265.0,1564088444.93,1.65,14.68,0.8272,1.4478
1,2024-02-20,1026.7446552,1029.8909616,1031.9884992,1020.4520424,112356398.0,1098987813.26,1.12,1.05,0.579,0.1019
1,2024-02-21,1025.6958864,1132.670304,1132.670304,1024.6471176,505528460.0,5295259396.81,10.49,102.78,2.6051,9.9796
1,2024-02-22,1116.938772,1143.157992,1144.2067608,1113.7924656,492232512.0,5307736374.06,2.69,10.49,2.5366,0.9259
1,2024-02-23,1141.0604544,1137.914148,1178.8161312,1136.8653792,356747950.0,3917316281.52,3.67,-5.24,1.8384,-0.4587
1,2024-02-26,1130.5727664,1104.3535464,1141.0604544,1101.20724,286260888.0,3048205024.78,3.5,-33.56,1.4751,-2.9493
1,2024-02-27,1100.1584712,1101.20724,1111.694928,1097.0121648,198190492.0,2083027074.06,1.33,-3.15,1.0213,-0.2849
1,2024-02-28,1102.2560088,1100.1584712,1122.182616,1090.719552,308269265.0,3253340358.41,2.86,-1.05,1.5886,-0.0952
1,2024-02-29,1092.8170896,1110.6461592,1110.6461592,1091.7683208,184534423.0,1936020982.56,1.72,10.49,0.9509,0.9533
1,2024-03-01,1110.6461592,1100.1584712,1111.694928,1093.8658584,182810290.0,1917689306.77,1.61,-10.49,0.9421,-0.9443
1,2024-03-04,1095.963396,1083.3781704,1101.20724,1082.3294016,165592954.0,1719562862.03,1.72,-16.78,0.8533,-1.5253
1,2024-03-05,1080.231864,1093.8658584,1098.0609336,1076.0367888,181731907.0,1889144330.16,2.03,10.49,0.9365,0.9681
1,2024-03-06,1090.719552,1083.3781704,1095.963396,1083.3781704,134564016.0,1396940060.42,1.15,-10.49,0.6934,-0.9588
1,2024-03-07,1083.3781704,1088.6220144,1115.8900032,1083.3781704,201616589.0,2109589237.19,3.0,5.24,1.039,0.484
1,2024-03-08,1085.475708,1088.6220144,1094.9146272,1080.231864,111397428.0,1154491251.23,1.35,0.0,0.574,0.0
1,2024-03-11,1088.6220144,1098.0609336,1098.0609336,1084.4269392,121067298.0,1260212019.66,1.25,9.44,0.6239,0.8671
1,2024-03-12,1099.1097024,1107.4998528,1110.6461592,1091.7683208,164126237.0,1721999708.11,1.72,9.44,0.8458,0.8596
1,2024-03-13,1104.3535464,1083.3781704,1106.451084,1080.231864,176803911.0,1834654994.4,2.37,-24.12,0.9111,-2.178
1,2024-03-14,1080.231864,1072.8904824,1088.6220144,1069.744176,140939973.0,1448499697.91,1.74,-10.49,0.7263,-0.9681
1,2024-03-15,1106.451084,1111.694928,1127.42646,1101.20724,375020789.0,3973799130.9,2.44,38.8,1.9325,3.6168
1,2024-03-18,1107.4998528,1105.4023152,1112.7436968,1100.1584712,167139651.0,1761249149.98,1.13,-6.29,0.8613,-0.566
1,2024-03-19,1104.3535464,1090.719552,1105.4023152,1089.6707832,129321558.0,1351069630.23,1.42,-14.68,0.6664,-1.3283
1,2024-03-20,1088.6220144,1095.963396,1098.0609336,1087.5732456,87266316.0,910278572.98,0.96,5.24,0.4497,0.4808
1,2024-03-21,1095.963396,1098.0609336,1103.3047776,1092.8170896,86446625.0,905422293.67,0.96,2.1,0.4455,0.1914
1,2024-03-22,1095.963396,1086.5244768,1095.963396,1081.2806328,102814174.0,1065535606.11,1.34,-11.54,0.5298,-1.0506
1,2024-03-25,1085.475708,1090.719552,1100.1584712,1082.3294016,95320221.0,993304120.45,1.64,4.2,0.4912,0.3861
1,2024-03-26,1095.963396,1111.694928,1117.9875408,1092.8170896,174002146.0,1835376190.72,2.31,20.98,0.8967,1.9231
1,2024-03-27,1107.4998528,1104.3535464,1114.8412344,1102.2560088,127413599.0,1347397150.36,1.13,-7.34,0.6566,-0.6604
1,2024-03-28,1102.2560088,1100.1584712,1108.5486216,1088.6220144,130218892.0,1362980388.48,1.8,-4.2,0.671,-0.3799
1,2024-03-29,1095.963396,1103.3047776,1108.5486216,1093.8658584,87275898.0,917332315.96,1.33,3.15,0.4497,0.286
1,2024-04-01,1103.3047776,1115.8900032,1116.938772,1102.2560088,119108796.0,1261770380.39,1.33,12.59,0.6138,1.1407
1,2024-04-02,1114.8412344,1106.451084,1120.0850784,1104.3535464,108545826.0,1149700799.95,1.41,-9.44,0.5594,-0.8459
1,2024-04-03,1104.3535464,1097.0121648,1106.451084,1092.8170896,98184585.0,1028648883.43,1.23,-9.44,0.506,-0.8531
1,2024-04-08,1092.8170896,1093.8658584,1100.1584712,1087.5732456,90636052.0,945290441.32,1.15,-3.15,0.4671,-0.2868
1,2024-04-09,1093.8658584,1090.719552,1098.0609336,1086.5244768,85715673.0,891468991.01,1.05,-3.15,0.4417,-0.2876
1,2024-04-10,1088.6220144,1078.1343264,1091.7683208,1077.0855576,124639082.0,1288696196.29,1.35,-12.59,0.6423,-1.1538
1,2024-04-11,1073.9392512,1074.98802,1079.1830952,1061.3540256,101021340.0,1030820137.39,1.65,-3.15,0.5206,-0.2918
1,2024-04-12,1071.8417136,1055.0614128,1077.0855576,1052.9638752,130545371.0,1322011753.93,2.24,-19.93,0.6727,-1.8537
1,2024-04-15,1056.1101816,1079.1830952,1082.3294016,1055.0614128,145320260.0,1486326196.01,2.58,24.12,0.7489,2.2863
1,2024-04-16,1078.1343264,1078.1343264,1089.6707832,1071.8417136,147803643.0,1523138499.07,1.65,-1.05,0.7617,-0.0972
1,2024-04-17,1076.0367888,1113.7924656,1114.8412344,1070.7929448,223264057.0,2337576586.88,4.09,35.66,1.1505,3.3074
1,2024-04-18,1109.5973904,1132.670304,1156.7919864,1107.4998528,316591426.0,3427338981.81,4.43,18.88,1.6314,1.6949
1,2024-04-19,1123.2313848,1121.1338472,1134.7678416,1117.9875408,145767502.0,1562376146.58,1.48,-11.54,0.7512,-1.0185
1,2024-04-22,1115.8900032,1101.20724,1133.7190728,1095.963396,200981837.0,2125722741.41,3.37,-19.93,1.0357,-1.7774
1,2024-04-23,1102.2560088,1105.4023152,1116.938772,1097.0121648,124002700.0,1308866093.13,1.81,4.2,0.639,0.381
1,2024-04-24,1103.3047776,1104.3535464,1108.5486216,1097.0121648,94156774.0,989093538.21,1.04,-1.05,0.4852,-0.0949
1,2024-04-25,1101.20724,1112.7436968,1113.7924656,1099.1097024,111381224.0,1176304524.86,1.33,8.39,0.574,0.7597
1,2024-04-26,1110.6461592,1111.694928,1119.0363096,1099.1097024,160762751.0,1698581436.96,1.79,-1.05,0.8284,-0.0943
1,2024-04-29,1107.4998528,1133.7190728,1143.157992,1103.3047776,216917737.0,2337350883.73,3.58,22.02,1.1178,1.9811
1,2024-04-30,1132.670304,1131.6215352,1141.0604544,1125.3289224,132455653.0,1431407709.37,1.39,-2.1,0.6826,-0.185
1,2024-05-06,1149.4506048,1142.1092232,1165.1821368,1136.8653792,178410057.0,1953817493.43,2.5,10.49,0.9194,0.9268
1,2024-05-07,1140.0116856,1141.0604544,1142.1092232,1128.4752288,108705665.0,1176786412.82,1.19,-1.05,0.5602,-0.0918
1,2024-05-08,1136.8653792,1125.3289224,1141.0604544,1123.2313848,122179127.0,1318611999.65,1.56,-15.73,0.6296,-1.3787
1,2024-05-09,1123.2313848,1128.4752288,1134.7678416,1123.2313848,106946063.0,1150726857.51,1.03,3.15,0.5511,0.2796
1,2024-05-10,1129.5239976,1147.3530672,1149.4506048,1128.4752288,176783561.0,1923452176.84,1.86,18.88,0.911,1.6729
1,2024-05-13,1143.157992,1150.4993736,1154.6944488,1133.7190728,140249860.0,1530058919.54,1.83,3.15,0.7227,0.2742
1,2024-05-14,1153.64568,1144.2067608,1159.9382928,1141.0604544,107578391.0,1176577328.23,1.64,-6.29,0.5544,-0.5469
1,2024-05-15,1143.157992,1135.8166104,1145.2555296,1133.7190728,86829660.0,942907950.5,1.01,-8.39,0.4474,-0.7333
1,2024-05-16,1137.914148,1171.4747496,1175.6698248,1135.8166104,307629165.0,3410151917.15,3.51,35.66,1.5853,3.1394
1,2024-05-17,1172.5235184,1197.6939696,1197.6939696,1167.2796744,284174885.0,3200736554.36,2.6,26.22,1.4644,2.2381
1,2024-05-20,1198.7427384,1193.4988944,1209.2304264,1186.1575128,217021030.0,2475290152.11,1.93,-4.2,1.1183,-0.3503
1,2024-05-21,1187.2062816,1211.327964,1218.6693456,1186.1575128,203004941.0,2336192874.97,2.72,17.83,1.0461,1.4938
1,2024-05-22,1212.3767328,1212.3767328,1231.2545712,1201.8890448,211553138.0,2458448969.66,2.42,1.05,1.0902,0.0866
1,2024-05-23,1209.2304264,1195.596432,1215.5230392,1192.4501256,184162290.0,2110799281.76,1.9,-16.78,0.949,-1.3841
1,2024-05-24,1192.4501256,1186.1575128,1205.0353512,1185.108744,139827584.0,1593330336.42,1.67,-9.44,0.7206,-0.7895
1,2024-05-27,1186.1575128,1207.1328888,1209.2304264,1186.1575128,145436143.0,1663272117.57,1.95,20.98,0.7495,1.7683
1,2024-05-28,1206.08412,1195.596432,1214.4742704,1191.4013568,120432285.0,1377107203.91,1.91,-11.54,0.6206,-0.9557
1,2024-05-29,1193.4988944,1180.9136688,1200.840276,1177.7673624,144481111.0,1635445613.13,1.93,-14.68,0.7445,-1.2281
1,2024-05-30,1178.8161312,1166.2309056,1189.3038192,1159.9382928,132549635.0,1481608711.02,2.49,-14.68,0.6831,-1.2433
1,2024-05-31,1168.3284432,1165.1821368,1173.5722872,1165.1821368,82670676.0,921248145.59,0.72,-1.05,0.426,-0.0899
1,2024-06-03,1166.2309056,1151.5481424,1167.2796744,1144.2067608,132669675.0,1456086023.62,1.98,-13.63,0.6837,-1.1701
1,2024-06-04,1148.401836,1155.7432176,1158.889524,1144.2067608,98100495.0,1079356560.61,1.28,4.2,0.5055,0.3643
1,2024-06-05,1157.8407552,1140.0116856,1160.9870616,1140.0116856,101896775.0,1114155998.81,1.81,-15.73,0.5251,-1.3612
1,2024-06-06,1143.157992,1143.157992,1151.5481424,1141.0604544,104933153.0,1145989425.79,0.92,3.15,0.5407,0.276
1,2024-06-07,1145.2555296,1152.5969112,1154.6944488,1142.1092232,117012604.0,1281662985.8,1.1,9.44,0.603,0.8257
1,2024-06-11,1151.5481424,1140.0116856,1155.7432176,1131.6215352,133762854.0,1452841956.89,2.09,-12.59,0.6893,-1.0919
1,2024-06-12,1137.914148,1141.0604544,1144.2067608,1130.5727664,95742635.0,1037927497.39,1.2,1.05,0.4934,0.092
1,2024-06-13,1142.1092232,1132.670304,1146.3042984,1132.670304,120350779.0,1304403407.05,1.19,-8.39,0.6202,-0.7353
1,2024-06-14,1140.5365804,1143.90762448,1149.52603128,1122.55767864,163799047.0,1657433954.94,2.38,11.24,0.8441,0.9921
1,2024-06-17,1138.28921768,1134.9181736,1141.66026176,1132.67081088,68121702.0,688669914.12,0.79,-8.99,0.351,-0.7859
1,2024-06-18,1136.04185496,1132.67081088,1141.66026176,1128.17608544,70065308.0,707829471.51,1.19,-2.25,0.3611,-0.198
1,2024-06-19,1134.9181736,1140.5365804,1147.27866856,1132.67081088,79618418.0,807676192.22,1.29,7.87,0.4103,0.6944
1,2024-06-20,1141.66026176,1129.2997668,1142.78394312,1129.2997668,62962757.0,635070262.4,1.18,-11.24,0.3245,-0.9852
1,2024-06-21,1129.2997668,1123.68136,1133.79449224,1118.0629532,83054528.0,831176895.42,1.39,-5.62,0.428,-0.4975
1,2024-06-24,1120.31031592,1121.43399728,1131.54712952,1110.19718368,94708154.0,944907465.65,1.9,-2.25,0.488,-0.2
1,2024-06-25,1122.55767864,1132.67081088,1138.28921768,1121.43399728,76999281.0,775332071.89,1.5,11.24,0.3968,1.002
1,2024-06-26,1130.42344816,1132.67081088,1138.28921768,1125.92872272,62859871.0,633763882.09,1.09,0.0,0.3239,0.0
1,2024-06-27,1130.42344816,1138.28921768,1147.27866856,1123.68136,92888197.0,938954397.5,2.08,5.62,0.4787,0.496
1,2024-06-28,1134.9181736,1140.5365804,1152.89707536,1133.79449224,91808992.0,933947813.42,1.68,2.25,0.4731,0.1974
1,2024-07-01,1133.79449224,1163.0102076,1163.0102076,1128.17608544,134305149.0,1372549619.58,3.05,22.47,0.6921,1.9704
1,2024-07-02,1157.3918008,1168.6286144,1177.61806528,1155.14443808,138438570.0,1440864390.61,1.93,5.62,0.7134,0.4831
1,2024-07-03,1168.6286144,1158.51548216,1171.99965848,1156.26811944,71306746.0,737326421.16,1.35,-10.11,0.3675,-0.8654
1,2024-07-04,1157.3918008,1152.89707536,1166.38125168,1151.773394,73504424.0,757464386.79,1.26,-5.62,0.3788,-0.485
1,2024-07-05,1152.89707536,1120.31031592,1156.26811944,1114.69190912,171335386.0,1721256576.49,3.61,-32.59,0.8829,-2.8265
1,2024-07-08,1116.93927184,1115.81559048,1125.92872272,1106.8261396,86865962.0,864791776.33,1.71,-4.49,0.4476,-0.4012
1,2024-07-09,1116.93927184,1131.54712952,1134.9181736,1113.56822776,103248530.0,1034316510.76,1.91,15.73,0.5321,1.4099
1,2024-07-10,1131.54712952,1139.41289904,1146.1549872,1129.2997668,87386511.0,886626727.3,1.49,7.87,0.4503,0.6951
1,2024-07-11,1147.27866856,1138.28921768,1149.52603128,1131.54712952,72139225.0,731789332.33,1.58,-1.12,0.3717,-0.0986
1,2024-07-12,1137.16553632,1158.51548216,1158.51548216,1137.16553632,121416369.0,1246877665.6,1.88,20.23,0.6257,1.7769
1,2024-07-15,1158.51548216,1160.76284488,1163.0102076,1152.89707536,86941247.0,896975833.16,0.87,2.25,0.448,0.194
1,2024-07-16,1160.76284488,1157.3918008,1165.25757032,1150.64971264,94300811.0,971564894.83,1.26,-3.37,0.4859,-0.2904
1,2024-07-17,1157.3918008,1168.6286144,1170.87597712,1155.14443808,122016835.0,1266412580.0,1.36,11.24,0.6288,0.9709
1,2024-07-18,1166.38125168,1169.75229576,1171.99965848,1157.3918008,108706102.0,1127365070.67,1.25,1.12,0.5602,0.0962
1,2024-07-19,1166.38125168,1165.25757032,1170.87597712,1156.26811944,89872324.0,929722661.62,1.25,-4.49,0.4631,-0.3842
1,2024-07-22,1164.13388896,1149.52603128,1166.38125168,1145.03130584,99448087.0,1018663805.8,1.83,-15.73,0.5125,-1.35
1,2024-07-23,1151.773394,1143.90762448,1160.76284488,1141.66026176,102015363.0,1046994471.4,1.66,-5.62,0.5257,-0.4888
1,2024-07-24,1143.90762448,1138.28921768,1150.64971264,1137.16553632,72451757.0,736332832.11,1.18,-5.62,0.3734,-0.4912
1,2024-07-25,1137.16553632,1133.79449224,1140.5365804,1123.68136,85640443.0,861750365.54,1.48,-4.49,0.4413,-0.3949
1,2024-07-26,1134.9181736,1127.05240408,1137.16553632,1120.31031592,92955195.0,931879546.46,1.49,-6.74,0.479,-0.5946
1,2024-07-29,1125.92872272,1136.04185496,1139.41289904,1120.31031592,78155243.0,788019058.61,1.69,8.99,0.4027,0.7976
1,2024-07-30,1134.9181736,1132.67081088,1138.28921768,1127.05240408,61326795.0,618056610.32,0.99,-3.37,0.316,-0.2967
1,2024-07-31,1132.67081088,1154.02075672,1155.14443808,1131.54712952,109690634.0,1117768674.7,2.08,21.35,0.5653,1.8849
1,2024-08-01,1151.773394,1154.02075672,1159.63916352,1142.78394312,73388377.0,752688220.0,1.46,0.0,0.3782,0.0
1,2024-08-02,1148.40234992,1139.41289904,1151.773394,1138.28921768,59022876.0,601173370.84,1.17,-14.61,0.3042,-1.2658
1,2024-08-05,1136.04185496,1129.2997668,1148.40234992,1129.2997668,75897852.0,768980624.53,1.68,-10.11,0.3911,-0.8876
1,2024-08-06,1131.54712952,1115.81559048,1137.16553632,1111.32086504,126553691.0,1261997756.88,2.29,-13.48,0.6522,-1.194
1,2024-08-07,1118.0629532,1115.81559048,1121.43399728,1113.56822776,51760842.0,514848813.1,0.7,0.0,0.2667,0.0
1,2024-08-08,1114.69190912,1116.93927184,1121.43399728,1112.4445464,50041067.0,497548149.01,0.81,1.12,0.2579,0.1007
1,2024-08-09,1119.18663456,1128.17608544,1134.9181736,1116.93927184,73027396.0,732886455.92,1.61,11.24,0.3763,1.006
1,2024-08-12,1125.92872272,1124.80504136,1129.2997668,1121.43399728,35301346.0,353251351.4,0.7,-3.37,0.1819,-0.2988
1,2024-08-13,1125.92872272,1118.0629532,1127.05240408,1114.69190912,62207720.0,620061491.92,1.1,-6.74,0.3206,-0.5994
1,2024-08-14,1116.93927184,1114.69190912,1121.43399728,1113.56822776,43638038.0,433380446.81,0.7,-3.37,0.2249,-0.3015
1,2024-08-15,1114.69190912,1127.05240408,1130.42344816,1109.07350232,77624747.0,775851460.98,1.92,12.36,0.4,1.1089
1,2024-08-16,1132.67081088,1138.28921768,1147.27866856,1129.2997668,126036761.0,1277042000.97,1.6,11.24,0.6495,0.997
1,2024-08-19,1138.28921768,1156.26811944,1157.3918008,1137.16553632,148298526.0,1520594687.55,1.78,17.98,0.7642,1.5795
1,2024-08-20,1159.63916352,1161.88652624,1171.99965848,1155.14443808,156918665.0,1623147686.36,1.46,5.62,0.8086,0.4859
1,2024-08-21,1157.3918008,1163.0102076,1166.38125168,1147.27866856,103488781.0,1068207868.15,1.64,1.12,0.5333,0.0967
1,2024-08-22,1161.88652624,1166.38125168,1174.2470212,1159.63916352,110903039.0,1153871815.8,1.26,3.37,0.5715,0.2899
1,2024-08-23,1167.50493304,1176.49438392,1179.865428,1159.63916352,107190571.0,1117475768.18,1.73,10.11,0.5524,0.8671
1,2024-08-26,1179.865428,1178.74174664,1185.4838348,1170.87597712,74067524.0,775921848.78,1.24,2.25,0.3817,0.191
1,2024-08-27,1176.49438392,1171.99965848,1182.11279072,1165.25757032,72313658.0,755583764.04,1.43,-6.74,0.3726,-0.572
1,2024-08-28,1169.75229576,1160.76284488,1171.99965848,1155.14443808,94254754.0,973872155.01,1.44,-11.24,0.4857,-0.9588
1,2024-08-29,1158.51548216,1138.28921768,1166.38125168,1136.04185496,119767631.0,1221351092.13,2.61,-22.47,0.6172,-1.9361
1,2024-08-30,1136.04185496,1141.66026176,1152.89707536,1136.04185496,129405908.0,1318858687.52,1.48,3.37,0.6668,0.2962
1,2024-09-02,1137.16553632,1136.04185496,1147.27866856,1133.79449224,96883550.0,983898750.95,1.18,-5.62,0.4993,-0.4921
1,2024-09-03,1136.04185496,1132.67081088,1138.28921768,1123.68136,91658122.0,920884663.15,1.29,-3.37,0.4723,-0.2967
1,2024-09-04,1129.2997668,1125.92872272,1140.5365804,1123.68136,84799233.0,852224669.89,1.49,-6.74,0.437,-0.5952
1,2024-09-05,1127.05240408,1131.54712952,1132.67081088,1121.43399728,59420876.0,595845842.53,1.0,5.62,0.3062,0.499
1,2024-09-06,1130.42344816,1132.67081088,1147.27866856,1129.2997668,87886543.0,891507833.61,1.59,1.12,0.4529,0.0993
1,2024-09-09,1129.2997668,1106.8261396,1131.54712952,1105.70245824,163917451.0,1624857668.46,2.28,-25.84,0.8447,-2.2817
1,2024-09-10,1107.94982096,1112.4445464,1114.69190912,1098.96037008,76790114.0,756124763.92,1.42,5.62,0.3957,0.5076
1,2024-09-11,1110.19718368,1084.3525124,1110.19718368,1082.10514968,110872704.0,1078602467.68,2.53,-28.09,0.5713,-2.5253
1,2024-09-12,1084.3525124,1094.46564464,1097.83668872,1079.85778696,58183405.0,564923215.58,1.66,10.11,0.2998,0.9326
1,2024-09-13,1093.34196328,1089.9709192,1103.45509552,1089.9709192,56646190.0,553269703.6,1.23,-4.49,0.2919,-0.4107
1,2024-09-18,1092.21828192,1097.83668872,1098.96037008,1085.47619376,44361099.0,431665627.32,1.24,7.87,0.2286,0.7216
1,2024-09-19,1100.08405144,1102.33141416,1105.70245824,1087.72355648,68429311.0,669341181.7,1.64,4.49,0.3526,0.4094
1,2024-09-20,1102.33141416,1112.4445464,1112.4445464,1098.96037008,79729714.0,785121198.91,1.22,10.11,0.4109,0.9174
1,2024-09-23,1111.32086504,1128.17608544,1133.79449224,1109.07350232,89690755.0,897428029.52,2.22,15.73,0.4622,1.4141
1,2024-09-24,1136.04185496,1165.25757032,1165.25757032,1132.67081088,163821319.0,1678174481.91,2.89,37.08,0.8442,3.2869
1,2024-09-25,1182.11279072,1179.865428,1202.3390552,1174.2470212,216069398.0,2285995369.39,2.41,14.61,1.1134,1.2536
1,2024-09-26,1179.865428,1252.9047164,1252.9047164,1179.865428,308645720.0,3341759455.52,6.19,73.04,1.5905,6.1905
1,2024-09-27,1275.3783436,1283.24411312,1298.97565216,1239.42054008,384001637.0,4337985142.5,4.75,30.34,1.9788,2.4215
1,2024-09-30,1305.71774032,1372.01494056,1382.1280728,1298.97565216,543028364.0,6467438837.7,6.48,88.77,2.7983,6.9177
1,2024-10-08,1509.10406648,1447.30159168,1509.10406648,1386.62279824,588897778.0,7602664023.92,8.93,75.29,3.0347,5.4873
1,2024-10-09,1419.20955768,1312.45982848,1419.20955768,1310.21246576,426934506.0,5172049702.23,7.53,-134.84,2.2001,-9.3168
1,2024-10-10,1334.2764351,1375.6137429,1407.7649823,1331.979918,342642168.0,4095573500.64,5.77,63.15,1.7657,4.8119
1,2024-10-11,1377.91026,1345.7590206,1397.43065535,1329.6834009,207089057.0,2455848197.41,4.92,-29.85,1.0672,-2.1703
1,2024-10-14,1375.6137429,1380.2067771,1398.5789139,1353.79683045,240059509.0,2881934271.85,3.33,34.45,1.2371,2.5597
1,2024-10-15,1371.0207087,1366.4276745,1404.32020665,1364.1311574,207284077.0,2500974426.85,2.91,-13.78,1.0682,-0.9983
1,2024-10-16,1354.945089,1384.7998113,1398.5789139,1351.50031335,191449353.0,2301340929.27,3.45,18.37,0.9866,1.3445
1,2024-10-17,1385.94806985,1372.16896725,1404.32020665,1369.87245015,165370809.0,1993261646.25,2.49,-12.63,0.8522,-0.9121
1,2024-10-18,1367.57593305,1382.5032942,1398.5789139,1341.1659864,260465416.0,3105820972.95,4.18,10.33,1.3422,0.7531
1,2024-10-21,1371.0207087,1356.09334755,1371.0207087,1335.42469365,280665467.0,3302020181.42,2.57,-26.41,1.4463,-1.9103
1,2024-10-22,1350.3520548,1353.79683045,1369.87245015,1345.7590206,161778713.0,1908438724.93,1.78,-2.3,0.8337,-0.1693
1,2024-10-23,1357.2416061,1361.8346403,1365.27941595,1349.20379625,151186604.0,1787236762.42,1.19,8.04,0.7791,0.5937
1,2024-10-24,1356.09334755,1349.20379625,1361.8346403,1345.7590206,88529942.0,1042818619.09,1.18,-12.63,0.4562,-0.9275
1,2024-10-25,1351.50031335,1344.61076205,1352.6485719,1342.31424495,110575468.0,1296844369.04,0.77,-4.59,0.5698,-0.3404
1,2024-10-28,1341.1659864,1336.5729522,1341.1659864,1323.94210815,116948698.0,1356008963.4,1.28,-8.04,0.6027,-0.5978
1,2024-10-29,1334.2764351,1325.0903667,1348.0555377,1323.94210815,119802482.0,1391150258.93,1.8,-11.48,0.6174,-0.8591
1,2024-10-30,1320.4973325,1299.8286786,1329.6834009,1294.08738585,148240279.0,1686501657.86,2.69,-25.26,0.7639,-1.9064
1,2024-10-31,1300.97693715,1306.7182299,1313.6077812,1290.6426102,125020539.0,1419624319.27,1.77,6.89,0.6442,0.53
1,2024-11-01,1306.7182299,1312.45952265,1326.23862525,1302.1251957,158981111.0,1821423447.06,1.85,5.74,0.8193,0.4394
1,2024-11-04,1312.45952265,1315.9042983,1315.9042983,1292.9391273,113151611.0,1285874126.16,1.75,3.44,0.5831,0.2625
1,2024-11-05,1311.3112641,1337.72121075,1338.8694693,1307.86648845,166541840.0,1925260700.35,2.36,21.82,0.8582,1.6579
1,2024-11-06,1334.2764351,1326.23862525,1336.5729522,1317.05255685,146228636.0,1689977500.77,1.46,-11.48,0.7535,-0.8584
1,2024-11-07,1320.4973325,1367.57593305,1369.87245015,1318.2008154,224284379.0,2627007560.71,3.9,41.34,1.1558,3.1169
1,2024-11-08,1371.0207087,1345.7590206,1379.05851855,1343.4625035,189510415.0,2239060533.97,2.6,-21.82,0.9766,-1.5953
